Input Query: BMC Molecular Biology Evaluation of potential reference genes in real-time RT-PCR studies of Atlantic salmon
topicNo score[0] rank_counter score[1] 
None 0a1533470817bc5ef0d0d0af56386a96b505dc0d 1 0.7311407258503265 
None 0b7fb3d53ef729f65beec5a406d0088ac683ec98 2 0.4835550932489826 
None 0a43046c154d0e521a6c425df215d90f3c62681e 3 0.3775304344940795 
None 0a4df0b92940218a7fc69cb46ba22c8f83a5bb9f 4 0.3641491486998052 
None 0b8d789e2116efa9e813dd4763020174f3f26968 5 0.36170602213362457 
None 0b1d36c395d04f82448c7f14bce6085b88bb2f47 6 0.351169350391161 
None 0a1b57b58a4f85beb910c49de95a52fd2b15096e 7 0.3465004074267213 
None 0a459f84b730814c578db3b6310423371ddc8ffb 8 0.34620165562278116 
None 0b9541cb33bfaf15aa3838839a39ef78a11d8658 9 0.339338802529103 
None 0bd206c313f628703bf896ecb80d2a37e1a178a3 10 0.3392251809264552 
None 0bdae8c38f570965cc9a630a44b7089c2a5da0ed 11 0.33084335683922883 
None 0bee52e6477404d2aed60b9ae06ac53bf92660de 12 0.3213873739856079 
None 0bf39c12d7c4576441079e2e758ec1eacfe015d1 13 0.3180411132187088 
None 0aff00101d5ccc6592987185ab833f95d842f98b 14 0.3051007639896496 
None 0be7b06a39aa31b27514a501ebdd477f42b0919a 15 0.3049590811895236 
None 0a6091c17b036524ee4c11c1082b6d9af211e574 16 0.29597921218472384 
None 0b7076698224d07cc053c470edb5331625d33af9 17 0.2953324066142326 
None 0aef63f4f4c4cb195e71b50d0c6e721aba9f2a81 18 0.2940480202299258 
None 0bd443591b5e10934beef050b516afeca6b668fe 19 0.29385087202089283 
None 0aa98e80546e920ee739d0f7145031080a6af8f0 20 0.29207305813542817 
None 0bc315d2fd406be6d572c343f3ec3bbc54686f8b 21 0.28731906848402017 
None 0a87078a7bf68dfb7f29a3949d7cdfa00349efed 22 0.28359100222237543 
None 0a32446730827ad8152c6a61e4738e4e0b231412 23 0.2731604808371611 
None 0a17c029515e527bfad8a67810ab82f4a3d6a299 24 0.2702784857013112 
None 0be19bfb83d9eb0a6b6f1c7ce8b75a58d8b1ed6f 25 0.27025585361325716 
None 0a4773cad312ee8af34ed7ca7902dde8f28136f7 26 0.25927022868196553 
None 0b30e970d817fdc264c7e6f61eda62e29775e650 27 0.25035901071501043 
None 0adc0c7498f0ebbb3c8f1c662da34605d5f91fe2 28 0.23999741611376144 
None 0a094d28ffd685164050dbad0e1426abc73a4e18 29 0.2389326421474926 
None 0b7e8eee1a131b49e7a3d3cb7bd1d38c940efcd0 30 0.23442332884475137 
None 0a124d3aa26def70b2db71f68c89dfe1996daf3e 31 0.2270632319940078 
None 0a23247c10fffc2f925c2ddee2451c552286d89b 32 0.22266839504781852 
None 0aa9c6e5d23acccfae9077750071e2768bdeefe6 33 0.2197157838409687 
None 0adf2e22eefb4ea5e395462e2bc6713b43fd320c 34 0.21930698728719986 
None 0a312b1ea71937f92cf9470a3c171f1643e55786 35 0.2164153331692591 
None 0ac675fdff45bfddf5aea34d37f58ad7df4f78b9 36 0.21544113828805658 
None 0ad7e174f73e58184845bd1291c97fe2d2da2195 37 0.21235600479233904 
None 0ac2dcedb0154464c73007929ef34a17a92e0e84 38 0.21174080154984518 
None 00ac0ed6be59b281c8f58c3d34387a424f5c6da1 39 0.21117406535743638 
None 0a41b85153ef8a084f7b3476d4d38832f533e914 40 0.2101699994541618 
None 0ae02f293c03e3e1a2d4582e62c22f2c0c291f48 41 0.20302837874913676 
None 0a1a3a1ad89a2b85fedb28ae9d2527b284b28c41 42 0.19892986590056064 
None 0b4b4e5bb8d0d5167eec1e203b5dad283bd364a5 43 0.1977369440889692 
None 0bf25ee11173cc87455e3b99254a5474499ecb4d 44 0.19759362101938432 
None 0a29d54d90d636472416f889c10f12062425bc76 45 0.1970866076118402 
None 0b028bc596add636668e7b46cf681d1011a4139e 46 0.19598368332720995 
None 0ac431a9a48289831c825c2b30f48bdf7f548995 47 0.19552868403677956 
None 0a2ded6cbd632857d491140a57f2773c3610b10b 48 0.19443622926028395 
None 0bda3352e1f43085c1c1b2595b2bb3b57f1e24eb 49 0.1928050124460588 
None 0ae70ae84cc9052dedf214ca44a842f0f9edc161 50 0.19200049487758794 
None 00ae0041374cbbf28df0d2cbeb08c1396a4f7878 51 0.19126022472668666 
None 0a4ff36a0de0c6c9efdcc2f20e3223a31e4c05a0 52 0.190326879064598 
None 0b5766df080c50aa5aa947e28e17af647c6700e8 53 0.18680452253734758 
None 0a9a85b82e17c880c923b5de9bec22931ed76f13 54 0.18596608409791762 
